costLow,dMPGLow,dMPG2Low,costHigh,dMPGHigh,dMPG2High
0,0.258064516,0.066597294,7.5,0.619775739,0.384121967
0,0.521488574,0.271950332,12,0.849723806,0.722030546
7.5,1.151364499,1.32564021,64.5,1.692024416,2.862946625
12,1.385059918,1.918390978,129,2.591400838,6.715358303
58.5,2.241087096,5.022471371,187.5,3.40573269,11.59901515
114,3.155120222,9.954783613,252,4.276365461,18.28730155
172.5,3.982722847,15.86208128,324,5.244728399,27.50717598
237,4.867543901,23.69298363,379.5,5.850333739,34.22640486
309,5.851687783,34.24224991,412.5,6.155578366,37.89114502
364.5,6.467162381,41.82418926,499.5,6.934263639,48.08401221
451.5,7.252206511,52.59449928,673.5,8.388240289,70.36257515
1027.5,13.03303275,169.8599428,1320,13.89249218,193.001339
1201.5,14.71476427,216.5242875,1396.5,14.49695256,210.1616336
1285.5,15.52264931,240.9526415,1480.5,15.06169288,226.8545924
1516.5,17.79843792,316.7843923,1656,16.26840295,264.6609346
1555.5,18.14948431,329.4037807,1836,17.40471131,302.9239759
1632,18.8100145,353.8166454,1942.5,18.00476853,324.17169
1812,20.21995323,408.8465088,2073,18.66339264,348.3222248
1987.5,21.55892639,464.7873073,2173.5,19.17514408,367.6861505
2074.5,22.09992565,488.4067138,2491.5,20.75788049,430.8896026
2181,22.75700977,517.8814936,2979,23.2843765,542.162189
2499,24.7430153,612.2168063,3270,24.76014014,613.06454
2629.5,25.49039038,649.7600017,3369,25.22365172,636.2326063
2920.5,27.0857044,733.6353827,3408,25.33832838,642.0308851
3466.5,27.92464949,779.7860492,3954,26.15246286,683.9513137
3466.5,27.92464949,779.7860492,3954,26.15246286,683.9513137