PassengerCars,LightTrucks
0,0
1.66034,0.72928
2.51364,1.9616
4.08787,1.5742
4.45803,1.0437
7.69232,4.88018
1.64417,1.53625
2.55203,1.90266
2.40372,2.2702
2.79437,1.87963
3.44979,1.95989
4.36964,2.8751
4.54394,3.05131
5.02968,2.58972
4.59084,2.30148
4.25053,2.14042
-0.06306,0.52661
-0.40361,0.07484
-0.15087,0.33615
-0.04462,-0.00189
0.3309,-0.22094
0.23664,0.06613
0.3991,-0.2419
0.31038,0.08299
0.00737,-0.39301
-0.12127,0.35462
0.15132,0.01947
0.47043,0.02951
0.85955,0.34415
0.72913,0.16983
1.27678,0.71454
1.09149,1.07642
2.02133,1.29324
0.23301,0.58376
1.55969,0.93179
2.52477,1.24854
2.2758,1.66964
4.35719,1.91412
5.45182,2.57092
5.53376,3.341
8.24903,4.41545
7.74903,5.31545
8.74903,5.91545
9.54903,6.51545
11.34903,7.41545
13.34903,8.61545
15.14903,10.41545
17.34903,11.71545
19.64903,13.11545
21.04903,15.31545
24.74903,16.51545
25.04903,16.61545
25.24903,16.71545
25.24903,16.71545
25.24903,16.81545
25.34903,16.81545
25.34903,16.91545
25.24903,17.01545
25.24903,17.01545
25.34903,17.01545
25.34903,17.01545
25.34903,17.01545
25.24903,17.01545
25.24903,17.01545
25.34903,17.01545
25.44903,17.01545
25.34903,17.01545
25.34903,17.01545
25.34903,17.01545
25.34903,17.01545
25.24903,16.91545
25.24903,16.91545
25.24903,16.91545
25.24903,16.91545
25.14903,16.91545
25.24903,16.91545