0,1,2,3,4,5,6,7,8,9,10,11,12
0,64.7,129.4,194.1,258.8,323.5,388.2,452.9,517.6,582.3,647,711.7,776.4
0,11.84572834,40.56194039,86.14863616,148.6058156,227.9334788,324.1316257,437.2002563,567.1393707,713.9489687,877.6290504,1058.179616,1255.600665
0,131.6872374,319.9122966,564.6751775,865.9758803,1223.814405,1638.190751,2109.104919,2636.556909,3220.546721,3861.074355,4558.13981,5311.743087
0,149.4557365,307.3517237,473.6879616,648.4644503,831.6811896,1023.33818,1223.43542,1431.972912,1648.950654,1874.368647,2108.226891,2350.525385
0,57.86312681,143.8437787,257.9419557,400.1576579,570.4908851,768.9416374,995.5099148,1250.195717,1532.999045,1843.919898,2182.958276,2550.114179
0,34.01552246,77.36731825,130.0553874,192.0797298,263.4403456,344.1372346,434.1703971,533.5398328,642.2455419,760.2875243,887.66578,1024.380309
0,26.53581609,61.43255558,104.6902185,156.3088047,216.2883144,284.6287475,361.3301039,446.3923838,539.815587,641.5997136,751.7447637,870.2507371
0,26.53581609,61.43255558,104.6902185,156.3088047,216.2883144,284.6287475,361.3301039,446.3923838,539.815587,641.5997136,751.7447637,870.2507371
0,64.7,129.4,194.1,258.8,323.5,388.2,452.9,517.6,582.3,647,711.7,776.4
0,11.84572834,40.56194039,86.14863616,148.6058156,227.9334788,324.1316257,437.2002563,567.1393707,713.9489687,877.6290504,1058.179616,1255.600665
0,95.81515907,207.3695167,334.663073,477.6958279,636.4677814,810.9789335,1001.229284,1207.218834,1428.947581,1666.415528,1919.622673,2188.569017
0,85.37262301,180.0496191,284.0309884,397.3167307,519.9068462,651.8013348,793.0001964,943.5034312,1103.311039,1272.42302,1450.839374,1638.560102
0,44.92319415,111.500756,199.7326855,309.6189827,441.1596476,594.3546801,769.2040804,965.7078483,1183.865984,1423.678487,1685.145358,1968.266597
0,29.69169986,67.41837445,113.1800238,166.9766478,228.8082466,298.6748201,376.5763683,462.5128913,556.484389,658.4908614,768.5323086,886.6087305
0,23.89456048,54.85424316,92.87904804,137.9689751,190.1240244,249.3441959,315.6294896,388.9799055,469.3954436,556.8761038,651.4218863,753.032791
0,23.89456048,54.85424316,92.87904804,137.9689751,190.1240244,249.3441959,315.6294896,388.9799055,469.3954436,556.8761038,651.4218863,753.032791
0,64.7,129.4,194.1,258.8,323.5,388.2,452.9,517.6,582.3,647,711.7,776.4
0,11.84572834,40.56194039,86.14863616,148.6058156,227.9334788,324.1316257,437.2002563,567.1393707,713.9489687,877.6290504,1058.179616,1255.600665
0,167.5593157,432.4550764,794.687282,1254.255933,1811.161028,2465.402569,3216.980555,4065.894985,5012.145861,6055.733181,7196.656947,8434.917158
0,213.53885,434.6538283,663.3449349,899.6121698,1143.455533,1394.875025,1653.870644,1920.442393,2194.590269,2476.314274,2765.614407,3062.490668
0,70.80305946,176.1868015,316.151226,490.696333,699.8221226,943.5285947,1221.815749,1534.683586,1882.132106,2264.161308,2680.771193,3131.96176
0,38.33934506,87.31626204,146.9307509,217.1828118,298.0724445,389.5996492,491.7644258,604.5667743,728.0066947,862.0841871,1006.799251,1162.151888
0,29.17707171,68.010868,116.5013889,174.6486343,242.4526044,319.913299,407.0307182,503.804862,610.2357304,726.3233234,852.067641,987.4686831
0,29.17707171,68.010868,116.5013889,174.6486343,242.4526044,319.913299,407.0307182,503.804862,610.2357304,726.3233234,852.067641,987.4686831