Year,GasPrices,CarMPG,LTMPG,CarStd,LTStd,EPACar,EPALT
1949,2.071978043,,,,,,
1950,2.047677262,,,,,,
1951,1.939705122,,,,,,
1952,1.920785138,,,,,,
1953,1.987637862,,,,,,
1954,1.990083892,,,,,,
1955,1.963927179,,,,,,
1956,1.951378691,,,,,,
1957,1.958028707,14.9,12.92,,,,
1958,1.877644298,14.9,12.92,,,,
1959,1.858254764,14.9,12.92,,,,
1960,1.86921505,14.9,12.92,,,,
1961,1.831806828,14.9,12.92,,,,
1962,1.797990481,14.9,12.92,,,,
1963,1.766030063,14.9,12.92,,,,
1964,1.739453846,14.9,12.92,,,,
1965,1.753252227,14.9,12.92,,,,
1966,1.754625707,14.9,12.92,,,,
1967,1.763588797,14.9,12.92,,,,
1968,1.717131829,14.7,12.75,,,,
1969,1.690140845,14.7,12.75,,,,
1970,1.646887866,14.8,12.83,,,14.8,
1971,1.598261232,14.4,12.49,,,14.4,
1972,1.519584114,14.5,12.57,,,14.5,
1973,1.548253227,14.2,12.31,,,14.2,
1974,1.947113185,14.2,12.31,,,14.2,
1975,1.90010221,15.8,13.7,,,15.8,13.7
1976,1.949964669,17.5,14.4,,,17.5,14.4
1977,1.961722488,18.3,15.6,,,18.3,15.6
1978,1.822017913,19.9,15.3,18,,19.9,15.3
1979,2.275160254,20.3,18.2,19,17.2,20.2,14.7
1980,2.888300137,24.3,18.5,20,17.2,,18.6
1981,2.923903941,25.9,20.1,22,17.2,,
1982,2.607275336,26.6,20.5,24,17.5,,
1983,2.399855029,26.4,20.7,26,19,,
1984,2.265003521,26.9,20.6,27,20,,
1985,2.191820989,27.6,20.7,27.5,19.5,,
1986,1.672415032,28.2,21.5,26,20,,
1987,1.677762633,28.5,21.7,26,20.5,,
1988,1.632487172,28.8,21.3,26,20.5,,
1989,1.727228287,28.4,21,26.5,20.5,,
1990,1.911350706,28,20.8,27.5,20,,
1991,1.817028566,28.4,21.3,27.5,20.2,,
1992,1.767683332,27.9,20.8,27.5,20.2,,
1993,1.702065913,28.4,21,27.5,20.4,,
1994,1.667921633,28.3,20.8,27.5,20.5,,
1995,1.676766693,28.6,20.5,27.5,20.6,,
1996,1.760061766,28.5,20.8,27.5,20.7,,
1997,1.734241874,28.7,20.6,27.5,20.7,,
1998,1.481151845,28.8,21,27.5,20.7,,
1999,1.598889551,28.3,20.9,27.5,20.7,,
2000,2.001966102,28.5,21.3,27.5,20.7,,
2001,1.918792827,28.8,20.9,27.5,20.7,,
2002,1.777903899,29,21.4,27.5,20.7,,
2003,1.984227932,29.5,21.8,27.5,20.7,,
2004,2.268410933,29.48,21.5,27.5,20.7,,
2005,2.67460583,30.32,22.1,27.5,21,,
2006,2.925705403,30.08,22.5,27.5,21.6,,
2007,3.080582813,31.22,23.1,27.5,22.2,,
2008,3.517917037,31.47,23.6,27.5,22.4,,
2009,2.527295263,32.88,24.8,27.5,23,,
2010,2.950885344,33.91,25.2,27.5,23.4,,
2011,3.645712568,33.12,24.7,30.17,24.3,,
2012,3.695046188,35.26,25,32.97,25.3,,
2013,3.522315451,36.4,25.7,33.5,25.9,,
2014,3.303624824,36.54,26.5,34.23,26.3,,
2015,2.395335299,37.24,27.3,35.46,27.6,,
2016,2.080594725,37.68,27.4,36.88,28.8,,
2017,2.287297117,39.06,28.1,39.19,29.2,,
2018,2.531335927,40.56,28.9,40.1,29.8,,